Job,Routing_ID,Arrival,Ready Time,Job Processing Time,Deadline
J25-0000,8,0,1440,597,3667
J25-0001,6,50,1440,416,2468
J25-0002,0,118,1440,395,3734
J25-0003,2,164,1440,568,3375
J25-0004,3,207,1440,655,4593
J25-0005,1,418,1440,510,3165
J25-0006,9,711,1440,540,3548
J25-0007,5,846,1440,496,3041
J25-0008,4,909,1440,393,3585
J25-0009,7,925,1440,539,3624
J25-0010,0,946,1440,395,3397
J25-0011,9,951,1440,540,3244
J25-0012,5,1024,1440,496,3087
J25-0013,7,1113,1440,539,3591
J25-0014,4,1143,1440,393,3391
J25-0015,6,1357,1440,416,3170
J25-0016,1,1420,1440,510,3254
J25-0017,2,1785,2880,568,5621
J25-0018,8,1840,2880,597,4829
J25-0019,3,1845,2880,655,4131
J25-0020,1,1856,2880,510,4850
J25-0021,5,1872,2880,496,5336
J25-0022,9,1922,2880,540,4824
J25-0023,8,1975,2880,597,4747
J25-0024,3,2028,2880,655,4838
J25-0025,2,2047,2880,568,4782
J25-0026,6,2112,2880,416,4487
J25-0027,7,2197,2880,539,5639
J25-0028,0,2202,2880,395,5262
J25-0029,4,2221,2880,393,4761
J25-0030,0,2233,2880,395,5845
J25-0031,1,2487,2880,510,4458
J25-0032,6,2574,2880,416,4006
J25-0033,2,2580,2880,568,6313
J25-0034,8,2636,2880,597,6140
J25-0035,5,2647,2880,496,4260
J25-0036,4,2655,2880,393,5236
J25-0037,7,2722,2880,539,5195
J25-0038,3,2892,4320,655,7421
J25-0039,9,3058,4320,540,6294
J25-0040,0,3065,4320,395,6231
J25-0041,9,3095,4320,540,5927
J25-0042,8,3116,4320,597,7097
J25-0043,1,3137,4320,510,5807
J25-0044,5,3151,4320,496,6052
J25-0045,6,3156,4320,416,6212
J25-0046,3,3275,4320,655,6193
J25-0047,4,3317,4320,393,5805
J25-0048,7,3415,4320,539,7401
J25-0049,2,3523,4320,568,6383
J25-0050,6,3528,4320,416,6365
J25-0051,4,3571,4320,393,6937
J25-0052,8,3595,4320,597,6461
J25-0053,9,3730,4320,540,6590
J25-0054,0,3757,4320,395,6231
J25-0055,7,3839,4320,539,5981
J25-0056,5,3865,4320,496,6675
J25-0057,2,3979,4320,568,5473
J25-0058,3,3981,4320,655,6103
J25-0059,1,3997,4320,510,6217
J25-0060,1,4068,4320,510,5734
J25-0061,9,4153,4320,540,6523
J25-0062,6,4179,4320,416,6130
J25-0063,3,4190,4320,655,6030
J25-0064,2,4254,4320,568,6482
J25-0065,4,4296,4320,393,6275
J25-0066,5,4315,4320,496,6051
J25-0067,7,4336,5760,539,7963
J25-0068,0,4459,5760,395,8767
J25-0069,8,4527,5760,597,6923
J25-0070,7,4528,5760,539,7935
J25-0071,8,4535,5760,597,7650
J25-0072,6,4535,5760,416,7337
J25-0073,3,4549,5760,655,7547
J25-0074,2,4580,5760,568,7730
J25-0075,4,4586,5760,393,7395
J25-0076,1,4610,5760,510,7760
J25-0077,9,4672,5760,540,8647
J25-0078,5,4769,5760,496,7673
J25-0079,0,4896,5760,395,8214
J25-0080,2,5131,5760,568,8233
J25-0081,4,5258,5760,393,7699
J25-0082,7,5340,5760,539,7390
J25-0083,0,5356,5760,395,7562
J25-0084,1,5358,5760,510,6940
J25-0085,6,5419,5760,416,7743
J25-0086,5,5441,5760,496,8204
J25-0087,8,5551,5760,597,9826
J25-0088,3,5598,5760,655,8396
J25-0089,9,5679,5760,540,8448
J25-0090,5,5718,5760,496,8014
J25-0091,9,5724,5760,540,7415
J25-0092,4,5837,7200,393,10170
J25-0093,6,6007,7200,416,9227
J25-0094,2,6222,7200,568,9320
J25-0095,8,6236,7200,597,9153
J25-0096,0,6321,7200,395,9520
J25-0097,7,6395,7200,539,9904
J25-0098,1,6420,7200,510,9536
J25-0099,3,6538,7200,655,8276
J25-0100,6,6583,7200,416,9047
J25-0101,0,6802,7200,395,9004
J25-0102,5,6812,7200,496,9369
J25-0103,8,6864,7200,597,9926
J25-0104,3,7166,7200,655,9944
J25-0105,1,7206,8640,510,10673
J25-0106,7,7243,8640,539,12447
J25-0107,2,7255,8640,568,10370
J25-0108,9,7448,8640,540,11051
J25-0109,4,7476,8640,393,10538
J25-0110,1,7476,8640,510,10566
J25-0111,0,7486,8640,395,10443
J25-0112,9,7495,8640,540,10188
J25-0113,4,7656,8640,393,11013
J25-0114,5,7735,8640,496,10504
J25-0115,8,7755,8640,597,11607
J25-0116,6,7787,8640,416,10031
J25-0117,3,7800,8640,655,9950
J25-0118,2,7912,8640,568,9959
J25-0119,7,7946,8640,539,10760
J25-0120,0,7997,8640,395,10792
J25-0121,5,8118,8640,496,10866
J25-0122,4,8214,8640,393,10447
J25-0123,8,8245,8640,597,10825
J25-0124,3,8366,8640,655,10389
J25-0125,7,8466,8640,539,11056
J25-0126,6,8536,8640,416,10472
J25-0127,1,8568,8640,510,10949
J25-0128,2,8601,8640,568,10340
J25-0129,9,8616,8640,540,10977
J25-0130,1,8626,8640,510,11379
J25-0131,8,8666,10080,597,11756
J25-0132,6,8772,10080,416,12386
J25-0133,5,8774,10080,496,12047
J25-0134,0,8814,10080,395,11336
J25-0135,3,8969,10080,655,11760
J25-0136,2,9022,10080,568,11528
J25-0137,4,9077,10080,393,12702
J25-0138,9,9097,10080,540,11806
J25-0139,7,9112,10080,539,12255
J25-0140,2,9132,10080,568,11629
J25-0141,9,9167,10080,540,11601
J25-0142,3,9169,10080,655,12246
J25-0143,8,9246,10080,597,11205
J25-0144,0,9262,10080,395,11396
J25-0145,5,9455,10080,496,12355
J25-0146,4,9484,10080,393,12655
J25-0147,6,9544,10080,416,11553
J25-0148,1,9563,10080,510,12407
J25-0149,7,9613,10080,539,11861
J25-0150,0,9647,10080,395,11840
J25-0151,5,9648,10080,496,11872
J25-0152,2,9954,10080,568,12155
J25-0153,9,10075,10080,540,12186
J25-0154,3,10084,11520,655,12774
J25-0155,1,10212,11520,510,12660
J25-0156,7,10338,11520,539,12871
J25-0157,8,10475,11520,597,13975
J25-0158,4,10629,11520,393,14964
J25-0159,6,10639,11520,416,14409
J25-0160,7,10872,11520,539,13305
J25-0161,0,10905,11520,395,13093
J25-0162,5,10943,11520,496,13458
J25-0163,8,11020,11520,597,13208
J25-0164,2,11091,11520,568,14239
J25-0165,3,11231,11520,655,13619
J25-0166,9,11285,11520,540,12526
J25-0167,6,11292,11520,416,13019
J25-0168,4,11329,11520,393,13596
J25-0169,1,11332,11520,510,12832
J25-0170,0,11405,11520,395,13711
J25-0171,4,11531,12960,393,15524
J25-0172,8,11588,12960,597,15122
J25-0173,5,11639,12960,496,14544
J25-0174,2,11709,12960,568,14937
J25-0175,7,11878,12960,539,14463
J25-0176,3,11891,12960,655,16062
J25-0177,6,11941,12960,416,14684
J25-0178,9,12058,12960,540,14228
J25-0179,1,12119,12960,510,14505
J25-0180,0,12122,12960,395,14574
J25-0181,2,12166,12960,568,14288
J25-0182,5,12177,12960,496,14971
J25-0183,3,12224,12960,655,14290
J25-0184,9,12235,12960,540,14839
J25-0185,6,12348,12960,416,14405
J25-0186,4,12400,12960,393,15183
J25-0187,1,12529,12960,510,14778
J25-0188,8,12834,12960,597,14474
J25-0189,7,12851,12960,539,16220
J25-0190,6,12906,12960,416,14768
J25-0191,8,12937,12960,597,14896
J25-0192,3,12978,14400,655,16361
J25-0193,5,12993,14400,496,16057
J25-0194,7,13250,14400,539,16469
J25-0195,4,13513,14400,393,17399
J25-0196,9,13583,14400,540,16405
J25-0197,2,13635,14400,568,16402
J25-0198,1,13727,14400,510,16456
J25-0199,0,13755,14400,395,15823
J25-0200,5,13761,14400,496,15936
J25-0201,8,13813,14400,597,16486
J25-0202,6,13846,14400,416,15506
J25-0203,0,13936,14400,395,17322
J25-0204,2,14038,14400,568,16816
J25-0205,9,14070,14400,540,16191
J25-0206,3,14098,14400,655,15985
J25-0207,7,14165,14400,539,16353
J25-0208,4,14259,14400,393,16213
J25-0209,1,14279,14400,510,15906
J25-0210,4,14288,14400,393,17013
J25-0211,3,14309,14400,655,16480
J25-0212,7,14660,15840,539,18499
