Job,Routing_ID,Arrival,Ready Time,Job Processing Time,Deadline
J25-0000,8,79,1440,597,3660
J25-0001,6,129,1440,416,2338
J25-0002,0,198,1440,395,3744
J25-0003,2,243,1440,568,3379
J25-0004,3,287,1440,655,4856
J25-0005,1,498,1440,510,3106
J25-0006,9,790,1440,540,3539
J25-0007,5,925,1440,496,2929
J25-0008,4,988,1440,393,3541
J25-0009,7,1004,1440,539,3578
J25-0010,0,1025,1440,395,3345
J25-0011,1,1030,1440,510,3210
J25-0012,2,1103,1440,568,4385
J25-0013,3,1192,1440,655,2567
J25-0014,4,1222,1440,393,3315
J25-0015,5,1436,1440,496,2981
J25-0016,6,1500,2880,416,4558
J25-0017,7,1864,2880,539,4980
J25-0018,8,1919,2880,597,4772
J25-0019,9,1925,2880,540,4621
J25-0020,1,1935,2880,510,4834
J25-0021,5,1952,2880,496,5368
J25-0022,9,2001,2880,540,4784
J25-0023,8,2055,2880,597,4676
J25-0024,3,2108,2880,655,4809
J25-0025,2,2126,2880,568,4780
J25-0026,6,2192,2880,416,4415
J25-0027,7,2277,2880,539,5711
J25-0028,0,2282,2880,395,5291
J25-0029,4,2301,2880,393,4675
J25-0030,0,2313,2880,395,6015
J25-0031,1,2567,2880,510,4377
J25-0032,6,2654,2880,416,3881
J25-0033,2,2660,2880,568,6738
J25-0034,8,2715,2880,597,6387
J25-0035,5,2726,2880,496,4126
J25-0036,4,2734,2880,393,5231
J25-0037,7,2801,2880,539,5173
J25-0038,3,2972,4320,655,7669
J25-0039,9,3137,4320,540,6259
J25-0040,0,3145,4320,395,6171
J25-0041,9,3174,4320,540,5836
J25-0042,8,3195,4320,597,7213
J25-0043,1,3217,4320,510,5714
J25-0044,5,3231,4320,496,5957
J25-0045,6,3235,4320,416,6188
J25-0046,3,3354,4320,655,6149
J25-0047,4,3397,4320,393,5671
J25-0048,7,3494,4320,539,7551
J25-0049,2,3603,4320,568,6414
J25-0050,6,3607,4320,416,6371
J25-0051,4,3651,4320,393,6988
J25-0052,8,3675,4320,597,6437
J25-0053,9,3809,4320,540,6614
J25-0054,0,3836,4320,395,6171
J25-0055,7,3918,4320,539,5859
J25-0056,5,3945,4320,496,6686
J25-0057,2,4059,4320,568,5362
J25-0058,3,4060,4320,655,6044
J25-0059,1,4076,4320,510,6187
J25-0060,1,4147,4320,510,5633
J25-0061,9,4233,4320,540,6533
J25-0062,6,4259,4320,416,6091
J25-0063,3,4269,4320,655,5959
J25-0064,2,4334,5760,568,7976
J25-0065,4,4375,5760,393,7640
J25-0066,5,4395,5760,496,7396
J25-0067,7,4416,5760,539,7920
J25-0068,0,4539,5760,395,8948
J25-0069,8,4606,5760,597,6778
J25-0070,7,4607,5760,539,7887
