Job,Operation,Machine,Start,Processing Time,End
J25-0000,0,M00,2481,76,2557
J25-0000,1,M01,2594,69,2663
J25-0000,2,M03,2681,76,2757
J25-0000,3,M05,2783,51,2834
J25-0000,4,M02,2834,85,2919
J25-0000,5,M09,2970,11,2981
J25-0000,6,M06,3158,40,3198
J25-0000,7,M07,3220,89,3309
J25-0000,8,M04,3309,26,3335
J25-0000,9,M08,3586,74,3660
J25-0001,0,M01,1521,46,1567
J25-0001,1,M00,1567,37,1604
J25-0001,2,M03,1604,61,1665
J25-0001,3,M02,1665,13,1678
J25-0001,4,M06,1678,32,1710
J25-0001,5,M05,1710,21,1731
J25-0001,6,M09,1731,32,1763
J25-0001,7,M08,1763,89,1852
J25-0001,8,M07,1852,30,1882
J25-0001,9,M04,2283,55,2338
J25-0002,0,M00,2954,29,2983
J25-0002,1,M01,2983,78,3061
J25-0002,2,M02,3061,9,3070
J25-0002,3,M03,3079,36,3115
J25-0002,4,M04,3169,49,3218
J25-0002,5,M05,3218,11,3229
J25-0002,6,M06,3315,62,3377
J25-0002,7,M07,3377,56,3433
J25-0002,8,M08,3433,44,3477
J25-0002,9,M09,3723,21,3744
J25-0003,0,M01,2243,91,2334
J25-0003,1,M00,2349,85,2434
J25-0003,2,M03,2493,39,2532
J25-0003,3,M02,2545,74,2619
J25-0003,4,M08,2619,90,2709
J25-0003,5,M05,2709,10,2719
J25-0003,6,M07,2929,12,2941
J25-0003,7,M06,2981,89,3070
J25-0003,8,M09,3070,45,3115
J25-0003,9,M04,3346,33,3379
J25-0004,0,M01,3546,81,3627
J25-0004,1,M02,3627,95,3722
J25-0004,2,M00,3722,71,3793
J25-0004,3,M04,3793,99,3892
J25-0004,4,M06,3892,9,3901
J25-0004,5,M08,3901,52,3953
J25-0004,6,M07,3953,85,4038
J25-0004,7,M03,4038,98,4136
J25-0004,8,M09,4136,22,4158
J25-0004,9,M05,4813,43,4856
J25-0005,0,M00,2086,43,2129
J25-0005,1,M02,2129,90,2219
J25-0005,2,M04,2338,75,2413
J25-0005,3,M09,2413,11,2424
J25-0005,4,M03,2424,69,2493
J25-0005,5,M01,2544,28,2572
J25-0005,6,M06,2572,46,2618
J25-0005,7,M05,2655,46,2701
J25-0005,8,M07,2701,72,2773
J25-0005,9,M08,3076,30,3106
J25-0006,0,M01,2459,85,2544
J25-0006,1,M00,2678,13,2691
